Format,2.0E,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4949,Trigger Address,4949,
Trigger Level,1.480E+01,Trigger Level,1.480E+01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,5.000E-01,Vertical Scale,1.000E+01,
Vertical Position,-4.000E-02,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-02,Horizontal Scale,2.000E-02,
Horizontal Position,1.000E-03,Horizontal Position,1.000E-03,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000E-05,Sampling Period,2.000E-05,
Horizontal Old Scale,2.000E-02,Horizontal Old Scale,2.000E-02,
Horizontal Old Position,1.000E-03,Horizontal Old Position,1.000E-03,
Firmware,V1.34,Firmware,V1.34,
Time,15-Jul-23 21:26:15,Time,15-Jul-23 21:26:15,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-9.735999e-02,-0.460000,-9.735999e-02,-30.000000,
-9.733999e-02,-0.440000,-9.733999e-02,-30.000000,
-9.731999e-02,-0.440000,-9.731999e-02,-30.400000,
-9.729999e-02,-0.440000,-9.729999e-02,-30.000000,
-9.727999e-02,-0.460000,-9.727999e-02,-30.000000,
-9.725999e-02,-0.460000,-9.725999e-02,-30.400000,
-9.723999e-02,-0.440000,-9.723999e-02,-30.000000,
-9.721999e-02,-0.460000,-9.721999e-02,-30.000000,
-9.719999e-02,-0.460000,-9.719999e-02,-30.000000,
-9.717999e-02,-0.460000,-9.717999e-02,-30.000000,
-9.715999e-02,-0.440000,-9.715999e-02,-30.400000,
-9.713999e-02,-0.440000,-9.713999e-02,-30.000000,
-9.711999e-02,-0.460000,-9.711999e-02,-30.000000,
-9.709999e-02,-0.440000,-9.709999e-02,-30.400000,
-9.707999e-02,-0.440000,-9.707999e-02,-30.000000,
-9.705999e-02,-0.440000,-9.705999e-02,-30.400000,
-9.703999e-02,-0.440000,-9.703999e-02,-30.000000,
-9.701999e-02,-0.440000,-9.701999e-02,-30.400000,
-9.699999e-02,-0.440000,-9.699999e-02,-30.400000,
-9.697999e-02,-0.440000,-9.697999e-02,-30.400000,
-9.695999e-02,-0.440000,-9.695999e-02,-30.000000,
-9.693999e-02,-0.440000,-9.693999e-02,-30.400000,
-9.691999e-02,-0.440000,-9.691999e-02,-30.000000,
-9.689999e-02,-0.440000,-9.689999e-02,-30.000000,
-9.687999e-02,-0.440000,-9.687999e-02,-30.400000,
-9.685999e-02,-0.460000,-9.685999e-02,-30.400000,
-9.683999e-02,-0.440000,-9.683999e-02,-30.000000,
-9.681999e-02,-0.440000,-9.681999e-02,-30.000000,
-9.679999e-02,-0.440000,-9.679999e-02,-30.000000,
-9.677999e-02,-0.440000,-9.677999e-02,-30.000000,
-9.675999e-02,-0.440000,-9.675999e-02,-30.000000,
-9.673999e-02,-0.440000,-9.673999e-02,-30.000000,
-9.671999e-02,-0.440000,-9.671999e-02,-30.400000,
-9.669999e-02,-0.440000,-9.669999e-02,-30.400000,
-9.667999e-02,-0.440000,-9.667999e-02,-30.000000,
-9.665999e-02,-0.440000,-9.665999e-02,-30.000000,
-9.663999e-02,-0.440000,-9.663999e-02,-30.000000,
-9.661999e-02,-0.440000,-9.661999e-02,-30.000000,
-9.659999e-02,-0.460000,-9.659999e-02,-30.000000,
-9.657999e-02,-0.440000,-9.657999e-02,-30.400000,
-9.655999e-02,-0.440000,-9.655999e-02,-30.400000,
-9.653999e-02,-0.440000,-9.653999e-02,-30.000000,
-9.651999e-02,-0.440000,-9.651999e-02,-30.400000,
-9.649999e-02,-0.440000,-9.649999e-02,-30.000000,
-9.647999e-02,-0.460000,-9.647999e-02,-30.000000,
-9.645999e-02,-0.460000,-9.645999e-02,-30.400000,
-9.643999e-02,-0.440000,-9.643999e-02,-30.400000,
-9.641999e-02,-0.440000,-9.641999e-02,-30.400000,
-9.639999e-02,-0.460000,-9.639999e-02,-30.400000,
-9.637999e-02,-0.440000,-9.637999e-02,-30.400000,
-9.635999e-02,-0.440000,-9.635999e-02,-30.400000,
-9.633999e-02,-0.440000,-9.633999e-02,-30.000000,
-9.631999e-02,-0.440000,-9.631999e-02,-30.000000,
-9.629999e-02,-0.440000,-9.629999e-02,-30.400000,
-9.627999e-02,-0.440000,-9.627999e-02,-30.000000,
-9.625999e-02,-0.460000,-9.625999e-02,-30.000000,
-9.623999e-02,-0.440000,-9.623999e-02,-30.400000,
-9.621999e-02,-0.440000,-9.621999e-02,-30.400000,
-9.619999e-02,-0.440000,-9.619999e-02,-30.400000,
-9.617999e-02,-0.440000,-9.617999e-02,-30.000000,
-9.615999e-02,-0.440000,-9.615999e-02,-30.400000,
-9.613999e-02,-0.440000,-9.613999e-02,-30.000000,
-9.611999e-02,-0.460000,-9.611999e-02,-30.000000,
-9.609999e-02,-0.440000,-9.609999e-02,-30.000000,
-9.607999e-02,-0.440000,-9.607999e-02,-30.400000,
-9.605999e-02,-0.460000,-9.605999e-02,-30.400000,
-9.603999e-02,-0.440000,-9.603999e-02,-30.400000,
-9.601999e-02,-0.440000,-9.601999e-02,-30.400000,
-9.599999e-02,-0.440000,-9.599999e-02,-30.400000,
-9.597999e-02,-0.460000,-9.597999e-02,-30.400000,
-9.595999e-02,-0.440000,-9.595999e-02,-30.000000,
-9.593999e-02,-0.460000,-9.593999e-02,-30.400000,
-9.591999e-02,-0.440000,-9.591999e-02,-30.400000,
-9.589999e-02,-0.440000,-9.589999e-02,-30.400000,
